year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,10.6,0.4,0.0,31.0,0.5,1.9,4.0,6.0,4.5,17.2,5.0,30.0
2023,11.0,0.5,0.0,32.0,0.6,2.2,4.7,6.4,4.8,20.1,5.4,32.6
2024,11.4,0.5,0.0,32.9,0.7,2.6,5.5,6.9,5.2,23.6,5.7,35.5
2025,11.9,0.6,0.0,34.0,0.8,3.0,6.4,7.4,5.5,27.6,6.2,38.6
2026,12.4,0.7,0.0,35.0,0.9,3.5,7.5,7.9,5.9,32.3,6.6,42.0
2027,12.8,0.9,0.0,36.1,1.1,4.1,8.8,8.5,6.3,37.8,7.1,45.7
2028,13.4,1.0,0.0,37.2,1.2,4.8,10.3,9.1,6.8,44.2,7.6,49.8
2029,13.9,1.2,0.0,38.3,1.4,5.7,12.1,9.7,7.3,51.7,8.1,54.1
2030,14.5,1.4,0.0,39.5,1.7,6.6,14.1,10.4,7.8,60.5,8.7,58.9
2031,15.0,1.6,0.0,40.7,2.0,7.8,16.5,11.2,8.4,70.7,9.3,64.1
2032,15.6,1.9,0.0,42.0,2.3,9.1,19.3,12.0,9.0,82.8,10.0,69.7
2033,16.3,2.2,0.0,43.3,2.7,10.6,22.6,12.8,9.6,96.8,10.7,75.9
2034,16.9,2.6,0.0,44.6,3.2,12.4,26.4,13.8,10.3,113.3,11.5,82.5
2035,17.6,3.0,0.0,46.0,3.7,14.5,30.9,14.8,11.1,132.6,12.3,89.8
