year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,30.1,32.0,24.7,23.8,28.8,32.5,33.2,27.9,25.8,28.7,28.7,28.5
2023,29.9,31.5,27.2,23.6,28.3,32.0,32.6,27.5,25.5,28.2,29.1,27.7
2024,29.8,30.9,24.7,23.3,27.8,31.4,32.0,27.2,25.2,27.7,29.5,27.0
2025,29.6,30.3,24.7,23.0,27.3,30.8,31.4,26.9,24.9,27.2,29.9,26.3
2026,29.4,29.8,24.7,22.7,26.8,30.3,30.9,26.6,24.6,26.7,30.4,25.6
2027,29.2,29.2,24.7,22.5,26.3,29.7,30.3,26.3,24.4,26.2,30.8,25.0
2028,29.0,28.7,24.7,22.2,25.8,29.2,29.7,26.0,24.1,25.7,31.3,24.3
2029,28.9,28.2,24.7,21.9,25.3,28.6,29.2,25.7,23.8,25.3,31.7,23.7
2030,28.7,27.7,24.7,21.7,24.9,28.1,28.7,25.5,23.5,24.8,32.2,23.1
2031,28.5,27.2,24.7,21.4,24.4,27.6,28.2,25.2,23.3,24.4,32.6,22.5
2032,28.4,26.7,24.7,21.2,24.0,27.1,27.7,24.9,23.0,23.9,33.1,21.9
2033,28.2,26.2,24.7,20.9,23.6,26.6,27.2,24.6,22.8,23.5,33.6,21.4
2034,28.0,25.7,24.7,20.7,23.1,26.1,26.7,24.3,22.5,23.1,34.1,20.8
2035,27.9,25.3,24.7,20.4,22.7,25.7,26.2,24.1,22.3,22.6,34.6,20.3
