edge,year_construction,capacity_existing
AUS-AUT,2022,1500
AUS-BRA,2022,1500
AUS-CHN,2022,1500
AUS-CZE,2022,1500
AUS-DEU,2022,1500
AUS-ITA,2022,1500
AUS-JPN,2022,1500
AUS-KOR,2022,1500
AUS-ROE,2022,1500
AUS-ROW,2022,1500
AUS-USA,2022,1500
AUT-AUS,2022,491
AUT-BRA,2022,491
AUT-CHN,2022,491
AUT-CZE,2022,491
AUT-DEU,2022,491
AUT-ITA,2022,491
AUT-JPN,2022,491
AUT-KOR,2022,491
AUT-ROE,2022,491
AUT-ROW,2022,491
AUT-USA,2022,491
BRA-AUS,2022,811
BRA-AUT,2022,811
BRA-CHN,2022,811
BRA-CZE,2022,811
BRA-DEU,2022,811
BRA-ITA,2022,811
BRA-JPN,2022,811
BRA-KOR,2022,811
BRA-ROE,2022,811
BRA-ROW,2022,811
BRA-USA,2022,811
CHN-AUS,2022,40000
CHN-AUT,2022,40000
CHN-BRA,2022,40000
CHN-CZE,2022,40000
CHN-DEU,2022,40000
CHN-ITA,2022,40000
CHN-JPN,2022,40000
CHN-KOR,2022,40000
CHN-ROE,2022,40000
CHN-ROW,2022,40000
CHN-USA,2022,40000
CZE-AUS,2022,60
CZE-AUT,2022,60
CZE-BRA,2022,60
CZE-CHN,2022,60
CZE-DEU,2022,60
CZE-ITA,2022,60
CZE-JPN,2022,60
CZE-KOR,2022,60
CZE-ROE,2022,60
CZE-ROW,2022,60
CZE-USA,2022,60
DEU-AUS,2022,550
DEU-AUT,2022,550
DEU-BRA,2022,550
DEU-CHN,2022,550
DEU-CZE,2022,550
DEU-ITA,2022,550
DEU-JPN,2022,550
DEU-KOR,2022,550
DEU-ROE,2022,550
DEU-ROW,2022,550
DEU-USA,2022,550
ITA-AUS,2022,0
ITA-AUT,2022,0
ITA-BRA,2022,0
ITA-CHN,2022,0
ITA-CZE,2022,0
ITA-DEU,2022,0
ITA-JPN,2022,0
ITA-KOR,2022,0
ITA-ROE,2022,0
ITA-ROW,2022,0
ITA-USA,2022,0
JPN-AUS,2022,30
JPN-AUT,2022,30
JPN-BRA,2022,30
JPN-CHN,2022,30
JPN-CZE,2022,30
JPN-DEU,2022,30
JPN-ITA,2022,30
JPN-KOR,2022,30
JPN-ROE,2022,30
JPN-ROW,2022,30
JPN-USA,2022,30
KOR-AUS,2022,0
KOR-AUT,2022,0
KOR-BRA,2022,0
KOR-CHN,2022,0
KOR-CZE,2022,0
KOR-DEU,2022,0
KOR-ITA,2022,0
KOR-JPN,2022,0
KOR-ROE,2022,0
KOR-ROW,2022,0
KOR-USA,2022,0
ROE-AUS,2022,7488
ROE-AUT,2022,7488
ROE-BRA,2022,7488
ROE-CHN,2022,7488
ROE-CZE,2022,7488
ROE-DEU,2022,7488
ROE-ITA,2022,7488
ROE-JPN,2022,7488
ROE-KOR,2022,7488
ROE-ROW,2022,7488
ROE-USA,2022,7488
ROW-AUS,2022,16610
ROW-AUT,2022,16610
ROW-BRA,2022,16610
ROW-CHN,2022,16610
ROW-CZE,2022,16610
ROW-DEU,2022,16610
ROW-ITA,2022,16610
ROW-JPN,2022,16610
ROW-KOR,2022,16610
ROW-ROE,2022,16610
ROW-USA,2022,16610
USA-AUS,2022,860
USA-AUT,2022,860
USA-BRA,2022,860
USA-CHN,2022,860
USA-CZE,2022,860
USA-DEU,2022,860
USA-ITA,2022,860
USA-JPN,2022,860
USA-KOR,2022,860
USA-ROE,2022,860
USA-ROW,2022,860
