edge,opex_variable
AUS-AUT,0.004935
AUS-BRA,0.005670
AUS-CHN,0.002625
AUS-CZE,0.003640
AUS-DEU,0.003710
AUS-ITA,0.004130
AUS-JPN,0.003010
AUS-KOR,0.002520
AUS-USA,0.003045
AUS-ROE,0.004104
AUS-ROW,0.003698
AUT-AUS,0.004935
AUT-BRA,0.005285
AUT-CHN,0.003850
AUT-CZE,0.000210
AUT-DEU,0.000735
AUT-ITA,0.001610
AUT-JPN,0.004200
AUT-KOR,0.003605
AUT-USA,0.003500
AUT-ROE,0.000852
AUT-ROW,0.003103
BRA-AUS,0.005670
BRA-AUT,0.005285
BRA-CHN,0.003080
BRA-CZE,0.004165
BRA-DEU,0.003395
BRA-ITA,0.003675
BRA-JPN,0.004445
BRA-KOR,0.003990
BRA-USA,0.002905
BRA-ROE,0.004130
BRA-ROW,0.004068
CHN-AUS,0.002625
CHN-AUT,0.003850
CHN-BRA,0.003080
CHN-CZE,0.001925
CHN-DEU,0.002205
CHN-ITA,0.003115
CHN-JPN,0.002275
CHN-KOR,0.001855
CHN-USA,0.002485
CHN-ROE,0.002774
CHN-ROW,0.002602
CZE-AUS,0.003640
CZE-AUT,0.000210
CZE-BRA,0.004165
CZE-CHN,0.001925
CZE-DEU,0.000245
CZE-ITA,0.000665
CZE-JPN,0.002625
CZE-KOR,0.002100
CZE-USA,0.002275
CZE-ROE,0.000373
CZE-ROW,0.001983
DEU-AUS,0.003710
DEU-AUT,0.000735
DEU-BRA,0.003395
DEU-CHN,0.002205
DEU-CZE,0.000245
DEU-ITA,0.001225
DEU-JPN,0.002940
DEU-KOR,0.002730
DEU-USA,0.002345
DEU-ROE,0.000735
DEU-ROW,0.002170
ITA-AUS,0.004130
ITA-AUT,0.001610
ITA-BRA,0.003675
ITA-CHN,0.003115
ITA-CZE,0.000665
ITA-DEU,0.001225
ITA-JPN,0.003675
ITA-KOR,0.003290
ITA-USA,0.003010
ITA-ROE,0.001167
ITA-ROW,0.002711
JPN-AUS,0.003010
JPN-AUT,0.004200
JPN-BRA,0.004445
JPN-CHN,0.002275
JPN-CZE,0.002625
JPN-DEU,0.002940
JPN-ITA,0.003675
JPN-KOR,0.002275
JPN-USA,0.002695
JPN-ROE,0.003360
JPN-ROW,0.003127
KOR-AUS,0.002520
KOR-AUT,0.003605
KOR-BRA,0.003990
KOR-CHN,0.001855
KOR-CZE,0.002100
KOR-DEU,0.002730
KOR-ITA,0.003290
KOR-JPN,0.002275
KOR-USA,0.002380
KOR-ROE,0.002931
KOR-ROW,0.002749
USA-AUS,0.003045
USA-AUT,0.003500
USA-BRA,0.002905
USA-CHN,0.002485
USA-CZE,0.002275
USA-DEU,0.002345
USA-ITA,0.003010
USA-JPN,0.002695
USA-KOR,0.002380
USA-ROE,0.002783
USA-ROW,0.002738
ROE-AUS,0.004104
ROE-AUT,0.000852
ROE-BRA,0.004130
ROE-CHN,0.002774
ROE-CZE,0.000373
ROE-DEU,0.000735
ROE-ITA,0.001167
ROE-JPN,0.003360
ROE-KOR,0.002931
ROE-USA,0.002783
ROE-ROW,0.002895
ROW-AUS,0.003698
ROW-AUT,0.003103
ROW-BRA,0.004068
ROW-CHN,0.002602
ROW-CZE,0.001983
ROW-DEU,0.002170
ROW-ITA,0.002711
ROW-JPN,0.003127
ROW-KOR,0.002749
ROW-USA,0.002738
ROW-ROE,0.002895
