edge,opex_specific_variable
AUS-AUT,0.427312649
AUS-BRA,0.013480434
AUS-CHN,0.008637787
AUS-CZE,0.015378178
AUS-DEU,0.00513535
AUS-ITA,0.067385418
AUS-JPN,0.155060486
AUS-KOR,0.034967803
AUS-ROE,0.005082763
AUS-ROW,0.009559131
AUS-USA,0.040770128
AUT-AUS,0.040696443
AUT-BRA,0.009134582
AUT-CHN,0.007154489
AUT-CZE,0.000240231
AUT-DEU,0.000167249
AUT-ITA,0.003178681
AUT-JPN,0.178034957
AUT-KOR,0.034389511
AUT-ROE,0.000225889
AUT-ROW,0.003572078
AUT-USA,0.018214893
BRA-AUS,0.035947824
BRA-AUT,0.255768285
BRA-CHN,0.016237096
BRA-CZE,0.009120092
BRA-DEU,0.003066021
BRA-ITA,0.037002265
BRA-JPN,0.344607895
BRA-KOR,0.072899178
BRA-ROE,0.003136587
BRA-ROW,0.00354136
BRA-USA,0.01737885
CHN-AUS,0.023034099
CHN-AUT,0.200325701
CHN-BRA,0.016237096
CHN-CZE,0.007149129
CHN-DEU,0.002351745
CHN-ITA,0.033768123
CHN-JPN,0.040906157
CHN-KOR,0.003956744
CHN-ROE,0.002279351
CHN-ROW,0.007816126
CHN-USA,0.028497142
CZE-AUS,0.041008476
CZE-AUT,0.006726454
CZE-BRA,0.009120092
CZE-CHN,0.007149129
CZE-DEU,0.00008977370000000002
CZE-ITA,0.003832256
CZE-JPN,0.176895546
CZE-KOR,0.034278252
CZE-ROE,0.000159036
CZE-ROW,0.003666376
CZE-USA,0.017643228
DEU-AUS,0.0410828
DEU-AUT,0.014048908
DEU-BRA,0.009198062
DEU-CHN,0.007055236
DEU-CZE,0.000269321
DEU-ITA,0.00491672
DEU-JPN,0.17389093
DEU-KOR,0.033773995
DEU-ROE,0.00008129759999999999
DEU-ROW,0.003817705
DEU-USA,0.017159941
ITA-AUS,0.04146795
ITA-AUT,0.020539167
ITA-BRA,0.008538984
ITA-CHN,0.007792644
ITA-CZE,0.000884367
ITA-DEU,0.000378209
ITA-JPN,0.192204149
ITA-KOR,0.037266843
ITA-ROE,0.000453553
ITA-ROW,0.003083997
ITA-USA,0.018454013
JPN-AUS,0.020335801
JPN-AUT,0.245162892
JPN-BRA,0.016947929
JPN-CHN,0.002011778
JPN-CZE,0.008699781
JPN-DEU,0.002850671
JPN-ITA,0.04096154
JPN-KOR,0.004816239
JPN-ROE,0.002771674
JPN-ROW,0.009121332
JPN-USA,0.027867082
KOR-AUS,0.021518648
KOR-AUT,0.22220915
KOR-BRA,0.016822887
KOR-CHN,0.000913095
KOR-CZE,0.007910366
KOR-DEU,0.002598
KOR-ITA,0.037266843
KOR-JPN,0.022599277
KOR-ROE,0.002522405
KOR-ROW,0.008422312
KOR-USA,0.028548931
ROE-AUS,0.040662106
ROE-AUT,0.018974683
ROE-BRA,0.00940976
ROE-CHN,0.006838053
ROE-CZE,0.000477109
ROE-DEU,0.00008129759999999999
ROE-ITA,0.005896191
ROE-JPN,0.169072137
ROE-KOR,0.032791267
ROE-ROW,0.00397727
ROE-USA,0.017184466
ROW-AUS,0.038236522
ROW-AUT,0.150027284
ROW-BRA,0.005312039
ROW-CHN,0.011724189
ROW-CZE,0.005499564
ROW-DEU,0.001908852
ROW-ITA,0.020045978
ROW-JPN,0.278200641
ROW-KOR,0.054745028
ROW-ROE,0.001988635
ROW-USA,0.022732903
USA-AUS,0.040770128
USA-AUT,0.191256381
USA-BRA,0.006517069
USA-CHN,0.010686428
USA-CZE,0.006616211
USA-DEU,0.002144993
USA-ITA,0.029987771
USA-JPN,0.212486497
USA-KOR,0.046392013
USA-ROE,0.002148058
USA-ROW,0.005683226
