edge,year_construction,capacity_existing
AUS-AUT,2022,2.74
AUS-BRA,2022,2.74
AUS-CHN,2022,2.74
AUS-CZE,2022,2.74
AUS-DEU,2022,2.74
AUS-ITA,2022,2.74
AUS-JPN,2022,2.74
AUS-KOR,2022,2.74
AUS-ROE,2022,2.74
AUS-ROW,2022,2.74
AUS-USA,2022,2.74
AUT-AUS,2022,0.00
AUT-BRA,2022,0.00
AUT-CHN,2022,0.00
AUT-CZE,2022,0.00
AUT-DEU,2022,0.00
AUT-ITA,2022,0.00
AUT-JPN,2022,0.00
AUT-KOR,2022,0.00
AUT-ROE,2022,0.00
AUT-ROW,2022,0.00
AUT-USA,2022,0.00
BRA-AUS,2022,10.57
BRA-AUT,2022,10.57
BRA-CHN,2022,10.57
BRA-CZE,2022,10.57
BRA-DEU,2022,10.57
BRA-ITA,2022,10.57
BRA-JPN,2022,10.57
BRA-KOR,2022,10.57
BRA-ROE,2022,10.57
BRA-ROW,2022,10.57
BRA-USA,2022,10.57
CHN-AUS,2022,141.74
CHN-AUT,2022,141.74
CHN-BRA,2022,141.74
CHN-CZE,2022,141.74
CHN-DEU,2022,141.74
CHN-ITA,2022,141.74
CHN-JPN,2022,141.74
CHN-KOR,2022,141.74
CHN-ROE,2022,141.74
CHN-ROW,2022,141.74
CHN-USA,2022,141.74
CZE-AUS,2022,15.78
CZE-AUT,2022,15.78
CZE-BRA,2022,15.78
CZE-CHN,2022,15.78
CZE-DEU,2022,15.78
CZE-ITA,2022,15.78
CZE-JPN,2022,15.78
CZE-KOR,2022,15.78
CZE-ROE,2022,15.78
CZE-ROW,2022,15.78
CZE-USA,2022,15.78
DEU-AUS,2022,47.17
DEU-AUT,2022,47.17
DEU-BRA,2022,47.17
DEU-CHN,2022,47.17
DEU-CZE,2022,47.17
DEU-ITA,2022,47.17
DEU-JPN,2022,47.17
DEU-KOR,2022,47.17
DEU-ROE,2022,47.17
DEU-ROW,2022,47.17
DEU-USA,2022,47.17
ITA-AUS,2022,9.74
ITA-AUT,2022,9.74
ITA-BRA,2022,9.74
ITA-CHN,2022,9.74
ITA-CZE,2022,9.74
ITA-DEU,2022,9.74
ITA-JPN,2022,9.74
ITA-KOR,2022,9.74
ITA-ROE,2022,9.74
ITA-ROW,2022,9.74
ITA-USA,2022,9.74
JPN-AUS,2022,21.77
JPN-AUT,2022,21.77
JPN-BRA,2022,21.77
JPN-CHN,2022,21.77
JPN-CZE,2022,21.77
JPN-DEU,2022,21.77
JPN-ITA,2022,21.77
JPN-KOR,2022,21.77
JPN-ROE,2022,21.77
JPN-ROW,2022,21.77
JPN-USA,2022,21.77
KOR-AUS,2022,11.96
KOR-AUT,2022,11.96
KOR-BRA,2022,11.96
KOR-CHN,2022,11.96
KOR-CZE,2022,11.96
KOR-DEU,2022,11.96
KOR-ITA,2022,11.96
KOR-JPN,2022,11.96
KOR-ROE,2022,11.96
KOR-ROW,2022,11.96
KOR-USA,2022,11.96
ROE-AUS,2022,153.46
ROE-AUT,2022,153.46
ROE-BRA,2022,153.46
ROE-CHN,2022,153.46
ROE-CZE,2022,153.46
ROE-DEU,2022,153.46
ROE-ITA,2022,153.46
ROE-JPN,2022,153.46
ROE-KOR,2022,153.46
ROE-ROW,2022,153.46
ROE-USA,2022,153.46
ROW-AUS,2022,138.58
ROW-AUT,2022,138.58
ROW-BRA,2022,138.58
ROW-CHN,2022,138.58
ROW-CZE,2022,138.58
ROW-DEU,2022,138.58
ROW-ITA,2022,138.58
ROW-JPN,2022,138.58
ROW-KOR,2022,138.58
ROW-ROE,2022,138.58
ROW-USA,2022,138.58
USA-AUS,2022,16.45
USA-AUT,2022,16.45
USA-BRA,2022,16.45
USA-CHN,2022,16.45
USA-CZE,2022,16.45
USA-DEU,2022,16.45
USA-ITA,2022,16.45
USA-JPN,2022,16.45
USA-KOR,2022,16.45
USA-ROE,2022,16.45
USA-ROW,2022,16.45
