edge,year_construction,capacity_existing
AUS-AUT,2022,830
AUS-BRA,2022,830
AUS-CHN,2022,830
AUS-CZE,2022,830
AUS-DEU,2022,830
AUS-ITA,2022,830
AUS-JPN,2022,830
AUS-KOR,2022,830
AUS-ROE,2022,830
AUS-ROW,2022,830
AUS-USA,2022,830
AUT-AUS,2022,1
AUT-BRA,2022,1
AUT-CHN,2022,1
AUT-CZE,2022,1
AUT-DEU,2022,1
AUT-ITA,2022,1
AUT-JPN,2022,1
AUT-KOR,2022,1
AUT-ROE,2022,1
AUT-ROW,2022,1
AUT-USA,2022,1
BRA-AUS,2022,381
BRA-AUT,2022,381
BRA-CHN,2022,381
BRA-CZE,2022,381
BRA-DEU,2022,381
BRA-ITA,2022,381
BRA-JPN,2022,381
BRA-KOR,2022,381
BRA-ROE,2022,381
BRA-ROW,2022,381
BRA-USA,2022,381
CHN-AUS,2022,1900
CHN-AUT,2022,1900
CHN-BRA,2022,1900
CHN-CZE,2022,1900
CHN-DEU,2022,1900
CHN-ITA,2022,1900
CHN-JPN,2022,1900
CHN-KOR,2022,1900
CHN-ROE,2022,1900
CHN-ROW,2022,1900
CHN-USA,2022,1900
CZE-AUS,2022,1
CZE-AUT,2022,1
CZE-BRA,2022,1
CZE-CHN,2022,1
CZE-DEU,2022,1
CZE-ITA,2022,1
CZE-JPN,2022,1
CZE-KOR,2022,1
CZE-ROE,2022,1
CZE-ROW,2022,1
CZE-USA,2022,1
DEU-AUS,2022,1
DEU-AUT,2022,1
DEU-BRA,2022,1
DEU-CHN,2022,1
DEU-CZE,2022,1
DEU-ITA,2022,1
DEU-JPN,2022,1
DEU-KOR,2022,1
DEU-ROE,2022,1
DEU-ROW,2022,1
DEU-USA,2022,1
ITA-AUS,2022,9.8
ITA-AUT,2022,9.8
ITA-BRA,2022,9.8
ITA-CHN,2022,9.8
ITA-CZE,2022,9.8
ITA-DEU,2022,9.8
ITA-JPN,2022,9.8
ITA-KOR,2022,9.8
ITA-ROE,2022,9.8
ITA-ROW,2022,9.8
ITA-USA,2022,9.8
JPN-AUS,2022,1
JPN-AUT,2022,1
JPN-BRA,2022,1
JPN-CHN,2022,1
JPN-CZE,2022,1
JPN-DEU,2022,1
JPN-ITA,2022,1
JPN-KOR,2022,1
JPN-ROE,2022,1
JPN-ROW,2022,1
JPN-USA,2022,1
KOR-AUS,2022,1
KOR-AUT,2022,1
KOR-BRA,2022,1
KOR-CHN,2022,1
KOR-CZE,2022,1
KOR-DEU,2022,1
KOR-ITA,2022,1
KOR-JPN,2022,1
KOR-ROE,2022,1
KOR-ROW,2022,1
KOR-USA,2022,1
ROE-AUS,2022,3431
ROE-AUT,2022,3431
ROE-BRA,2022,3431
ROE-CHN,2022,3431
ROE-CZE,2022,3431
ROE-DEU,2022,3431
ROE-ITA,2022,3431
ROE-JPN,2022,3431
ROE-KOR,2022,3431
ROE-ROW,2022,3431
ROE-USA,2022,3431
ROW-AUS,2022,14158
ROW-AUT,2022,14158
ROW-BRA,2022,14158
ROW-CHN,2022,14158
ROW-CZE,2022,14158
ROW-DEU,2022,14158
ROW-ITA,2022,14158
ROW-JPN,2022,14158
ROW-KOR,2022,14158
ROW-ROE,2022,14158
ROW-USA,2022,14158
USA-AUS,2022,1300
USA-AUT,2022,1300
USA-BRA,2022,1300
USA-CHN,2022,1300
USA-CZE,2022,1300
USA-DEU,2022,1300
USA-ITA,2022,1300
USA-JPN,2022,1300
USA-KOR,2022,1300
USA-ROE,2022,1300
USA-ROW,2022,1300
