edge,opex_variable
AUS-AUT,0.000563019
AUS-BRA,0.000646872
AUS-CHN,0.000299478
AUS-CZE,0.000415276
AUS-DEU,0.000423262
AUS-ITA,0.000471179
AUS-JPN,0.000343401
AUS-KOR,0.000287499
AUS-USA,0.000347394
AUS-ROE,0.000468184
AUS-ROW,0.000421931
AUT-AUS,0.000613652
AUT-BRA,0.000657173
AUT-CHN,0.000478735
AUT-CZE,0.000026113
AUT-DEU,0.000091395
AUT-ITA,0.000200198
AUT-JPN,0.000522257
AUT-KOR,0.000448270
AUT-USA,0.000435214
AUT-ROE,0.000105902
AUT-ROW,0.000385890
BRA-AUS,0.000388058
BRA-AUT,0.000361708
BRA-CHN,0.000210797
BRA-CZE,0.000285055
BRA-DEU,0.000232356
BRA-ITA,0.000251519
BRA-JPN,0.000304218
BRA-KOR,0.000273078
BRA-USA,0.000198820
BRA-ROE,0.000282660
BRA-ROW,0.000278401
CHN-AUS,0.000163490
CHN-AUT,0.000239786
CHN-BRA,0.000191829
CHN-CZE,0.000119893
CHN-DEU,0.000137332
CHN-ITA,0.000194008
CHN-JPN,0.000141692
CHN-KOR,0.000115533
CHN-USA,0.000154771
CHN-ROE,0.000172755
CHN-ROW,0.000162037
CZE-AUS,0.000339092
CZE-AUT,0.000019563
CZE-BRA,0.000387999
CZE-CHN,0.000179327
CZE-DEU,0.000022824
CZE-ITA,0.000061949
CZE-JPN,0.000244537
CZE-KOR,0.000195630
CZE-USA,0.000211932
CZE-ROE,0.000034779
CZE-ROW,0.000184762
DEU-AUS,0.000478028
DEU-AUT,0.000094704
DEU-BRA,0.000437441
DEU-CHN,0.000284111
DEU-CZE,0.000031568
DEU-ITA,0.000157839
DEU-JPN,0.000378815
DEU-KOR,0.000351757
DEU-USA,0.000302150
DEU-ROE,0.000094704
DEU-ROW,0.000279601
ITA-AUS,0.000528518
ITA-AUT,0.000206033
ITA-BRA,0.000470292
ITA-CHN,0.000398628
ITA-CZE,0.000085100
ITA-DEU,0.000156764
ITA-JPN,0.000470292
ITA-KOR,0.000421023
ITA-USA,0.000385191
ITA-ROE,0.000149299
ITA-ROW,0.000346871
JPN-AUS,0.000283443
JPN-AUT,0.000395502
JPN-BRA,0.000418573
JPN-CHN,0.000214230
JPN-CZE,0.000247189
JPN-DEU,0.000276851
JPN-ITA,0.000346064
JPN-KOR,0.000214230
JPN-USA,0.000253780
JPN-ROE,0.000316402
JPN-ROW,0.000294429
KOR-AUS,0.000201609
KOR-AUT,0.000288413
KOR-BRA,0.000319215
KOR-CHN,0.000148407
KOR-CZE,0.000168008
KOR-DEU,0.000218410
KOR-ITA,0.000263212
KOR-JPN,0.000182008
KOR-USA,0.000190409
KOR-ROE,0.000234511
KOR-ROW,0.000219966
USA-AUS,0.000347394
USA-AUT,0.000399304
USA-BRA,0.000331422
USA-CHN,0.000283506
USA-CZE,0.000259548
USA-DEU,0.000267534
USA-ITA,0.000343401
USA-JPN,0.000307464
USA-KOR,0.000271527
USA-ROE,0.000317447
USA-ROW,0.000312344
ROE-AUS,0.000409143
ROE-AUT,0.000084911
ROE-BRA,0.000411760
ROE-CHN,0.000276542
ROE-CZE,0.000037221
ROE-DEU,0.000073279
ROE-ITA,0.000116316
ROE-JPN,0.000334991
ROE-KOR,0.000292245
ROE-USA,0.000277414
ROE-ROW,0.000288620
ROW-AUS,0.000368262
ROW-AUT,0.000309015
ROW-BRA,0.000405050
ROW-CHN,0.000259061
ROW-CZE,0.000197491
ROW-DEU,0.000216078
ROW-ITA,0.000269904
ROW-JPN,0.000311338
ROW-KOR,0.000273776
ROW-USA,0.000272615
ROW-ROE,0.000288259
