edge,opex_specific_variable
AUS-AUT,1.348069666
AUS-BRA,0.02246739
AUS-CHN,0.319598128
AUS-CZE,0.046134535
AUS-DEU,0.0102707
AUS-ITA,0.715322131
AUS-JPN,0.289785171
AUS-KOR,0.169459352
AUS-ROE,0.020331053
AUS-ROW,0.148166524
AUS-USA,0.112117852
AUT-AUS,0.020348221
AUT-BRA,0.015224303
AUT-CHN,0.264716106
AUT-CZE,0.000720692
AUT-DEU,0.000334498
AUT-ITA,0.033742917
AUT-JPN,0.332721067
AUT-KOR,0.166656862
AUT-ROE,0.000903556
AUT-ROW,0.055367212
AUT-USA,0.050090957
BRA-AUS,0.017973912
BRA-AUT,0.806888042
BRA-CHN,0.60077255
BRA-CZE,0.027360277
BRA-DEU,0.006132041
BRA-ITA,0.39279327
BRA-JPN,0.644021312
BRA-KOR,0.35328063
BRA-ROE,0.012546346
BRA-ROW,0.054891072
BRA-USA,0.047791837
CHN-AUS,0.01151705
CHN-AUT,0.631979892
CHN-BRA,0.027061827
CHN-CZE,0.021447387
CHN-DEU,0.00470349
CHN-ITA,0.358461612
CHN-JPN,0.076447571
CHN-KOR,0.019174991
CHN-ROE,0.009117403
CHN-ROW,0.121149953
CHN-USA,0.07836714
CZE-AUS,0.020504238
CZE-AUT,0.021220362
CZE-BRA,0.015200154
CZE-CHN,0.264517774
CZE-DEU,0.000179547
CZE-ITA,0.040680873
CZE-JPN,0.330591677
CZE-KOR,0.166117682
CZE-ROE,0.000636145
CZE-ROW,0.056828823
CZE-USA,0.048518878
DEU-AUS,0.0205414
DEU-AUT,0.04432096
DEU-BRA,0.015330103
DEU-CHN,0.261043721
DEU-CZE,0.000807963
DEU-ITA,0.052192876
DEU-JPN,0.324976493
DEU-KOR,0.163673977
DEU-ROE,0.00032519
DEU-ROW,0.059174427
DEU-USA,0.047189838
ITA-AUS,0.020733975
ITA-AUT,0.064796181
ITA-BRA,0.01423164
ITA-CHN,0.288327819
ITA-CZE,0.0026531
ITA-DEU,0.000756418
ITA-JPN,0.359201196
ITA-KOR,0.180600855
ITA-ROE,0.001814213
ITA-ROW,0.047801947
ITA-USA,0.050748536
JPN-AUS,0.010167901
JPN-AUT,0.773430551
JPN-BRA,0.028246549
JPN-CHN,0.074435793
JPN-CZE,0.026099343
JPN-DEU,0.005701342
JPN-ITA,0.4348225
JPN-KOR,0.023340237
JPN-ROE,0.011086698
JPN-ROW,0.141380654
JPN-USA,0.076634474
KOR-AUS,0.010759324
KOR-AUT,0.701016961
KOR-BRA,0.028038145
KOR-CHN,0.033784508
KOR-CZE,0.023731097
KOR-DEU,0.005195999
KOR-ITA,0.395601873
KOR-JPN,0.042234714
KOR-ROE,0.010089621
KOR-ROW,0.130545836
KOR-USA,0.07850956
ROE-AUS,0.020331053
ROE-AUT,0.059860607
ROE-BRA,0.015682933
ROE-CHN,0.253007945
ROE-CZE,0.001431327
ROE-DEU,0.000162595
ROE-ITA,0.062590336
ROE-JPN,0.315970879
ROE-KOR,0.158911525
ROE-ROW,0.061647688
ROE-USA,0.047257281
ROW-AUS,0.019118261
ROW-AUT,0.473300359
ROW-BRA,0.008853399
ROW-CHN,0.433794991
ROW-CZE,0.016498691
ROW-DEU,0.003817705
ROW-ITA,0.212795766
ROW-JPN,0.519915952
ROW-KOR,0.265302827
ROW-ROE,0.00795454
ROW-USA,0.062515483
USA-AUS,0.020385064
USA-AUT,0.603368344
USA-BRA,0.010861781
USA-CHN,0.395397844
USA-CZE,0.019848632
USA-DEU,0.004289985
USA-ITA,0.318331724
USA-JPN,0.397105912
USA-KOR,0.224822831
USA-ROE,0.008592233
USA-ROW,0.088089999
