edge,year_construction,capacity_existing
AUS-AUT,2022,380
AUS-BRA,2022,380
AUS-CHN,2022,380
AUS-CZE,2022,380
AUS-DEU,2022,380
AUS-ITA,2022,380
AUS-JPN,2022,380
AUS-KOR,2022,380
AUS-ROE,2022,380
AUS-ROW,2022,380
AUS-USA,2022,380
AUT-AUS,2022,133
AUT-BRA,2022,133
AUT-CHN,2022,133
AUT-CZE,2022,133
AUT-DEU,2022,133
AUT-ITA,2022,133
AUT-JPN,2022,133
AUT-KOR,2022,133
AUT-ROE,2022,133
AUT-ROW,2022,133
AUT-USA,2022,133
BRA-AUS,2022,133.5
BRA-AUT,2022,133.5
BRA-CHN,2022,133.5
BRA-CZE,2022,133.5
BRA-DEU,2022,133.5
BRA-ITA,2022,133.5
BRA-JPN,2022,133.5
BRA-KOR,2022,133.5
BRA-ROE,2022,133.5
BRA-ROW,2022,133.5
BRA-USA,2022,133.5
CHN-AUS,2022,11000
CHN-AUT,2022,11000
CHN-BRA,2022,11000
CHN-CZE,2022,11000
CHN-DEU,2022,11000
CHN-ITA,2022,11000
CHN-JPN,2022,11000
CHN-KOR,2022,11000
CHN-ROE,2022,11000
CHN-ROW,2022,11000
CHN-USA,2022,11000
CZE-AUS,2022,0
CZE-AUT,2022,0
CZE-BRA,2022,0
CZE-CHN,2022,0
CZE-DEU,2022,0
CZE-ITA,2022,0
CZE-JPN,2022,0
CZE-KOR,2022,0
CZE-ROE,2022,0
CZE-ROW,2022,0
CZE-USA,2022,0
DEU-AUS,2022,620
DEU-AUT,2022,620
DEU-BRA,2022,620
DEU-CHN,2022,620
DEU-CZE,2022,620
DEU-ITA,2022,620
DEU-JPN,2022,620
DEU-KOR,2022,620
DEU-ROE,2022,620
DEU-ROW,2022,620
DEU-USA,2022,620
ITA-AUS,2022,15.4
ITA-AUT,2022,15.4
ITA-BRA,2022,15.4
ITA-CHN,2022,15.4
ITA-CZE,2022,15.4
ITA-DEU,2022,15.4
ITA-JPN,2022,15.4
ITA-KOR,2022,15.4
ITA-ROE,2022,15.4
ITA-ROW,2022,15.4
ITA-USA,2022,15.4
JPN-AUS,2022,1119
JPN-AUT,2022,1119
JPN-BRA,2022,1119
JPN-CHN,2022,1119
JPN-CZE,2022,1119
JPN-DEU,2022,1119
JPN-ITA,2022,1119
JPN-KOR,2022,1119
JPN-ROE,2022,1119
JPN-ROW,2022,1119
JPN-USA,2022,1119
KOR-AUS,2022,660
KOR-AUT,2022,660
KOR-BRA,2022,660
KOR-CHN,2022,660
KOR-CZE,2022,660
KOR-DEU,2022,660
KOR-ITA,2022,660
KOR-JPN,2022,660
KOR-ROE,2022,660
KOR-ROW,2022,660
KOR-USA,2022,660
ROE-AUS,2022,2676
ROE-AUT,2022,2676
ROE-BRA,2022,2676
ROE-CHN,2022,2676
ROE-CZE,2022,2676
ROE-DEU,2022,2676
ROE-ITA,2022,2676
ROE-JPN,2022,2676
ROE-KOR,2022,2676
ROE-ROW,2022,2676
ROE-USA,2022,2676
ROW-AUS,2022,8278.5
ROW-AUT,2022,8278.5
ROW-BRA,2022,8278.5
ROW-CHN,2022,8278.5
ROW-CZE,2022,8278.5
ROW-DEU,2022,8278.5
ROW-ITA,2022,8278.5
ROW-JPN,2022,8278.5
ROW-KOR,2022,8278.5
ROW-ROE,2022,8278.5
ROW-USA,2022,8278.5
USA-AUS,2022,1000
USA-AUT,2022,1000
USA-BRA,2022,1000
USA-CHN,2022,1000
USA-CZE,2022,1000
USA-DEU,2022,1000
USA-ITA,2022,1000
USA-JPN,2022,1000
USA-KOR,2022,1000
USA-ROE,2022,1000
USA-ROW,2022,1000
