edge,distance
AUS-AUT,15915.216
AUS-BRA,14058.1668
AUS-CHN,9007.97812
AUS-CZE,16037.2432
AUS-DEU,16066.3094
AUS-ITA,16216.9303
AUS-JPN,7952.75094
AUS-KOR,8415.32835
AUS-ROE,15901.7878
AUS-ROW,14953.2114
AUS-USA,15944.0322
AUT-AUS,15915.216
AUT-BRA,9526.06368
AUT-CHN,7461.11031
AUT-CZE,250.526103
AUT-DEU,523.250145
AUT-ITA,764.979173
AUT-JPN,9131.06688
AUT-KOR,8276.15711
AUT-ROE,706.710131
AUT-ROW,5587.75087
AUT-USA,7123.32439
BRA-AUS,14058.1668
BRA-AUT,9526.06368
BRA-CHN,16932.9715
BRA-CZE,9510.95357
BRA-DEU,9592.26442
BRA-ITA,8904.94059
BRA-JPN,17674.2691
BRA-KOR,17543.868
BRA-ROE,9813.03527
BRA-ROW,5539.69809
BRA-USA,6796.37156
CHN-AUS,9007.97812
CHN-AUT,7461.11031
CHN-BRA,16932.9715
CHN-CZE,7455.52026
CHN-DEU,7357.60294
CHN-ITA,8126.61419
CHN-JPN,2097.99726
CHN-KOR,952.22745
CHN-ROE,7131.11197
CHN-ROW,12226.6542
CHN-USA,11144.418
CZE-AUS,16037.2432
CZE-AUT,250.526103
CZE-BRA,9510.95357
CZE-CHN,7455.52026
CZE-DEU,280.863493
CZE-ITA,922.268233
CZE-JPN,9072.62872
CZE-KOR,8249.3815
CZE-ROE,497.556637
CZE-ROW,5735.25909
CZE-USA,6899.76248
DEU-AUS,16066.3094
DEU-AUT,523.250145
DEU-BRA,9592.26442
DEU-CHN,7357.60294
DEU-CZE,280.863493
DEU-ITA,1183.25464
DEU-JPN,8918.52781
DEU-KOR,8128.02743
DEU-ROE,254.345369
DEU-ROW,5971.98137
DEU-USA,6710.76269
ITA-AUS,16216.9303
ITA-AUT,764.979173
ITA-BRA,8904.94059
ITA-CHN,8126.61419
ITA-CZE,922.268233
ITA-DEU,1183.25464
ITA-JPN,9857.77718
ITA-KOR,8968.6139
ITA-ROE,1418.97345
ITA-ROW,4824.25184
ITA-USA,7216.83722
JPN-AUS,7952.75094
JPN-AUT,9131.06688
JPN-BRA,17674.2691
JPN-CHN,2097.99726
JPN-CZE,9072.62872
JPN-DEU,8918.52781
JPN-ITA,9857.77718
JPN-KOR,1159.07299
JPN-ROE,8671.38126
JPN-ROW,14268.3701
JPN-USA,10898.0194
KOR-AUS,8415.32835
KOR-AUT,8276.15711
KOR-BRA,17543.868
KOR-CHN,952.22745
KOR-CZE,8249.3815
KOR-DEU,8128.02743
KOR-ITA,8968.6139
KOR-JPN,1159.07299
KOR-ROE,7891.52473
KOR-ROW,13174.9023
KOR-USA,11164.6712
ROE-AUS,15901.7878
ROE-AUT,706.710131
ROE-BRA,9813.03527
ROE-CHN,7131.11197
ROE-CZE,497.556637
ROE-DEU,254.345369
ROE-ITA,1418.97345
ROE-JPN,8671.38126
ROE-KOR,7891.52473
ROE-ROW,6221.58692
ROE-USA,6720.35362
ROW-AUS,14953.2114
ROW-AUT,5587.75087
ROW-BRA,5539.69809
ROW-CHN,12226.6542
ROW-CZE,5735.25909
ROW-DEU,5971.98137
ROW-ITA,4824.25184
ROW-JPN,14268.3701
ROW-KOR,13174.9023
ROW-ROE,6221.58692
ROW-USA,8890.18885
USA-AUS,15944.0322
USA-AUT,7123.32439
USA-BRA,6796.37156
USA-CHN,11144.418
USA-CZE,6899.76248
USA-DEU,6710.76269
USA-ITA,7216.83722
USA-JPN,10898.0194
USA-KOR,11164.6712
USA-ROE,6720.35362
USA-ROW,8890.18885
