edge,opex_variable
AUS-AUT,0.051395
AUS-BRA,0.059049
AUS-CHN,0.027338
AUS-CZE,0.037908
AUS-DEU,0.038637
AUS-ITA,0.043011
AUS-JPN,0.031347
AUS-KOR,0.026244
AUS-USA,0.031712
AUS-ROE,0.042738
AUS-ROW,0.038516
AUT-AUS,0.056738
AUT-BRA,0.060762
AUT-CHN,0.044264
AUT-CZE,0.002414
AUT-DEU,0.008450
AUT-ITA,0.018510
AUT-JPN,0.048288
AUT-KOR,0.041447
AUT-USA,0.040240
AUT-ROE,0.009792
AUT-ROW,0.035679
BRA-AUS,0.032449
BRA-AUT,0.030245
BRA-CHN,0.017626
BRA-CZE,0.023836
BRA-DEU,0.019429
BRA-ITA,0.021032
BRA-JPN,0.025438
BRA-KOR,0.022834
BRA-USA,0.016625
BRA-ROE,0.023635
BRA-ROW,0.023279
CHN-AUS,0.014340
CHN-AUT,0.021032
CHN-BRA,0.016826
CHN-CZE,0.010516
CHN-DEU,0.012046
CHN-ITA,0.017017
CHN-JPN,0.012428
CHN-KOR,0.010134
CHN-USA,0.013575
CHN-ROE,0.015153
CHN-ROW,0.014213
CZE-AUS,0.029214
CZE-AUT,0.001685
CZE-BRA,0.033427
CZE-CHN,0.015450
CZE-DEU,0.001966
CZE-ITA,0.005337
CZE-JPN,0.021067
CZE-KOR,0.016854
CZE-USA,0.018259
CZE-ROE,0.002996
CZE-ROW,0.015918
DEU-AUS,0.044944
DEU-AUT,0.008904
DEU-BRA,0.041128
DEU-CHN,0.026712
DEU-CZE,0.002968
DEU-ITA,0.014840
DEU-JPN,0.035616
DEU-KOR,0.033072
DEU-USA,0.028408
DEU-ROE,0.008904
DEU-ROW,0.026288
ITA-AUS,0.046929
ITA-AUT,0.018294
ITA-BRA,0.041759
ITA-CHN,0.035395
ITA-CZE,0.007556
ITA-DEU,0.013919
ITA-JPN,0.041759
ITA-KOR,0.037384
ITA-USA,0.034202
ITA-ROE,0.013257
ITA-ROW,0.030800
JPN-AUS,0.024269
JPN-AUT,0.033864
JPN-BRA,0.035839
JPN-CHN,0.018343
JPN-CZE,0.021165
JPN-DEU,0.023705
JPN-ITA,0.029631
JPN-KOR,0.018343
JPN-USA,0.021729
JPN-ROE,0.027091
JPN-ROW,0.025210
KOR-AUS,0.016682
KOR-AUT,0.023865
KOR-BRA,0.026414
KOR-CHN,0.012280
KOR-CZE,0.013902
KOR-DEU,0.018073
KOR-ITA,0.021780
KOR-JPN,0.015061
KOR-USA,0.015756
KOR-ROE,0.019405
KOR-ROW,0.018201
USA-AUS,0.029824
USA-AUT,0.034280
USA-BRA,0.028452
USA-CHN,0.024339
USA-CZE,0.022282
USA-DEU,0.022968
USA-ITA,0.029481
USA-JPN,0.026396
USA-KOR,0.023310
USA-ROE,0.027253
USA-ROW,0.026815
ROE-AUS,0.035304
ROE-AUT,0.007327
ROE-BRA,0.035530
ROE-CHN,0.023862
ROE-CZE,0.003212
ROE-DEU,0.006323
ROE-ITA,0.010037
ROE-JPN,0.028906
ROE-KOR,0.025217
ROE-USA,0.023937
ROE-ROW,0.024904
ROW-AUS,0.031785
ROW-AUT,0.026671
ROW-BRA,0.034960
ROW-CHN,0.022359
ROW-CZE,0.017045
ROW-DEU,0.018650
ROW-ITA,0.023295
ROW-JPN,0.026871
ROW-KOR,0.023630
ROW-USA,0.023529
ROW-ROE,0.024880
