edge,year_construction,capacity_existing
AUS-AUT,2022,9.0
AUS-BRA,2022,9.0
AUS-CHN,2022,9.0
AUS-CZE,2022,9.0
AUS-DEU,2022,9.0
AUS-ITA,2022,9.0
AUS-JPN,2022,9.0
AUS-KOR,2022,9.0
AUS-ROE,2022,9.0
AUS-ROW,2022,9.0
AUS-USA,2022,9.0
AUT-AUS,2022,4.0
AUT-BRA,2022,4.0
AUT-CHN,2022,4.0
AUT-CZE,2022,4.0
AUT-DEU,2022,4.0
AUT-ITA,2022,4.0
AUT-JPN,2022,4.0
AUT-KOR,2022,4.0
AUT-ROE,2022,4.0
AUT-ROW,2022,4.0
AUT-USA,2022,4.0
BRA-AUS,2022,3.0
BRA-AUT,2022,3.0
BRA-CHN,2022,3.0
BRA-CZE,2022,3.0
BRA-DEU,2022,3.0
BRA-ITA,2022,3.0
BRA-JPN,2022,3.0
BRA-KOR,2022,3.0
BRA-ROE,2022,3.0
BRA-ROW,2022,3.0
BRA-USA,2022,3.0
CHN-AUS,2022,90.0
CHN-AUT,2022,90.0
CHN-BRA,2022,90.0
CHN-CZE,2022,90.0
CHN-DEU,2022,90.0
CHN-ITA,2022,90.0
CHN-JPN,2022,90.0
CHN-KOR,2022,90.0
CHN-ROE,2022,90.0
CHN-ROW,2022,90.0
CHN-USA,2022,90.0
CZE-AUS,2022,3.0
CZE-AUT,2022,3.0
CZE-BRA,2022,3.0
CZE-CHN,2022,3.0
CZE-DEU,2022,3.0
CZE-ITA,2022,3.0
CZE-JPN,2022,3.0
CZE-KOR,2022,3.0
CZE-ROE,2022,3.0
CZE-ROW,2022,3.0
CZE-USA,2022,3.0
DEU-AUS,2022,19.0
DEU-AUT,2022,19.0
DEU-BRA,2022,19.0
DEU-CHN,2022,19.0
DEU-CZE,2022,19.0
DEU-ITA,2022,19.0
DEU-JPN,2022,19.0
DEU-KOR,2022,19.0
DEU-ROE,2022,19.0
DEU-ROW,2022,19.0
DEU-USA,2022,19.0
ITA-AUS,2022,25.0
ITA-AUT,2022,25.0
ITA-BRA,2022,25.0
ITA-CHN,2022,25.0
ITA-CZE,2022,25.0
ITA-DEU,2022,25.0
ITA-JPN,2022,25.0
ITA-KOR,2022,25.0
ITA-ROE,2022,25.0
ITA-ROW,2022,25.0
ITA-USA,2022,25.0
JPN-AUS,2022,17.0
JPN-AUT,2022,17.0
JPN-BRA,2022,17.0
JPN-CHN,2022,17.0
JPN-CZE,2022,17.0
JPN-DEU,2022,17.0
JPN-ITA,2022,17.0
JPN-KOR,2022,17.0
JPN-ROE,2022,17.0
JPN-ROW,2022,17.0
JPN-USA,2022,17.0
KOR-AUS,2022,1.0
KOR-AUT,2022,1.0
KOR-BRA,2022,1.0
KOR-CHN,2022,1.0
KOR-CZE,2022,1.0
KOR-DEU,2022,1.0
KOR-ITA,2022,1.0
KOR-JPN,2022,1.0
KOR-ROE,2022,1.0
KOR-ROW,2022,1.0
KOR-USA,2022,1.0
ROE-AUS,2022,45.0
ROE-AUT,2022,45.0
ROE-BRA,2022,45.0
ROE-CHN,2022,45.0
ROE-CZE,2022,45.0
ROE-DEU,2022,45.0
ROE-ITA,2022,45.0
ROE-JPN,2022,45.0
ROE-KOR,2022,45.0
ROE-ROW,2022,45.0
ROE-USA,2022,45.0
ROW-AUS,2022,216.0
ROW-AUT,2022,216.0
ROW-BRA,2022,216.0
ROW-CHN,2022,216.0
ROW-CZE,2022,216.0
ROW-DEU,2022,216.0
ROW-ITA,2022,216.0
ROW-JPN,2022,216.0
ROW-KOR,2022,216.0
ROW-ROE,2022,216.0
ROW-USA,2022,216.0
USA-AUS,2022,44.0
USA-AUT,2022,44.0
USA-BRA,2022,44.0
USA-CHN,2022,44.0
USA-CZE,2022,44.0
USA-DEU,2022,44.0
USA-ITA,2022,44.0
USA-JPN,2022,44.0
USA-KOR,2022,44.0
USA-ROE,2022,44.0
USA-ROW,2022,44.0
