edge,year_construction,capacity_existing
AUS-AUT,2022,3.5
AUS-BRA,2022,3.5
AUS-CHN,2022,3.5
AUS-CZE,2022,3.5
AUS-DEU,2022,3.5
AUS-ITA,2022,3.5
AUS-JPN,2022,3.5
AUS-KOR,2022,3.5
AUS-ROE,2022,3.5
AUS-ROW,2022,3.5
AUS-USA,2022,3.5
AUT-AUS,2022,3.1
AUT-BRA,2022,3.1
AUT-CHN,2022,3.1
AUT-CZE,2022,3.1
AUT-DEU,2022,3.1
AUT-ITA,2022,3.1
AUT-JPN,2022,3.1
AUT-KOR,2022,3.1
AUT-ROE,2022,3.1
AUT-ROW,2022,3.1
AUT-USA,2022,3.1
BRA-AUS,2022,10.4
BRA-AUT,2022,10.4
BRA-CHN,2022,10.4
BRA-CZE,2022,10.4
BRA-DEU,2022,10.4
BRA-ITA,2022,10.4
BRA-JPN,2022,10.4
BRA-KOR,2022,10.4
BRA-ROE,2022,10.4
BRA-ROW,2022,10.4
BRA-USA,2022,10.4
CHN-AUS,2022,139.2
CHN-AUT,2022,139.2
CHN-BRA,2022,139.2
CHN-CZE,2022,139.2
CHN-DEU,2022,139.2
CHN-ITA,2022,139.2
CHN-JPN,2022,139.2
CHN-KOR,2022,139.2
CHN-ROE,2022,139.2
CHN-ROW,2022,139.2
CHN-USA,2022,139.2
CZE-AUS,2022,2.6
CZE-AUT,2022,2.6
CZE-BRA,2022,2.6
CZE-CHN,2022,2.6
CZE-DEU,2022,2.6
CZE-ITA,2022,2.6
CZE-JPN,2022,2.6
CZE-KOR,2022,2.6
CZE-ROE,2022,2.6
CZE-ROW,2022,2.6
CZE-USA,2022,2.6
DEU-AUS,2022,8.9
DEU-AUT,2022,8.9
DEU-BRA,2022,8.9
DEU-CHN,2022,8.9
DEU-CZE,2022,8.9
DEU-ITA,2022,8.9
DEU-JPN,2022,8.9
DEU-KOR,2022,8.9
DEU-ROE,2022,8.9
DEU-ROW,2022,8.9
DEU-USA,2022,8.9
ITA-AUS,2022,8.4
ITA-AUT,2022,8.4
ITA-BRA,2022,8.4
ITA-CHN,2022,8.4
ITA-CZE,2022,8.4
ITA-DEU,2022,8.4
ITA-JPN,2022,8.4
ITA-KOR,2022,8.4
ITA-ROE,2022,8.4
ITA-ROW,2022,8.4
ITA-USA,2022,8.4
JPN-AUS,2022,23.9
JPN-AUT,2022,23.9
JPN-BRA,2022,23.9
JPN-CHN,2022,23.9
JPN-CZE,2022,23.9
JPN-DEU,2022,23.9
JPN-ITA,2022,23.9
JPN-KOR,2022,23.9
JPN-ROE,2022,23.9
JPN-ROW,2022,23.9
JPN-USA,2022,23.9
KOR-AUS,2022,17.9
KOR-AUT,2022,17.9
KOR-BRA,2022,17.9
KOR-CHN,2022,17.9
KOR-CZE,2022,17.9
KOR-DEU,2022,17.9
KOR-ITA,2022,17.9
KOR-JPN,2022,17.9
KOR-ROE,2022,17.9
KOR-ROW,2022,17.9
KOR-USA,2022,17.9
ROE-AUS,2022,29.2
ROE-AUT,2022,29.2
ROE-BRA,2022,29.2
ROE-CHN,2022,29.2
ROE-CZE,2022,29.2
ROE-DEU,2022,29.2
ROE-ITA,2022,29.2
ROE-JPN,2022,29.2
ROE-KOR,2022,29.2
ROE-ROW,2022,29.2
ROE-USA,2022,29.2
ROW-AUS,2022,3.5
ROW-AUT,2022,3.5
ROW-BRA,2022,3.5
ROW-CHN,2022,3.5
ROW-CZE,2022,3.5
ROW-DEU,2022,3.5
ROW-ITA,2022,3.5
ROW-JPN,2022,3.5
ROW-KOR,2022,3.5
ROW-ROE,2022,3.5
ROW-USA,2022,3.5
USA-AUS,2022,97.4
USA-AUT,2022,97.4
USA-BRA,2022,97.4
USA-CHN,2022,97.4
USA-CZE,2022,97.4
USA-DEU,2022,97.4
USA-ITA,2022,97.4
USA-JPN,2022,97.4
USA-KOR,2022,97.4
USA-ROE,2022,97.4
USA-ROW,2022,97.4
