edge,year_construction,capacity_existing
AUS-AUT,2022,880000
AUS-BRA,2022,880000
AUS-CHN,2022,880000
AUS-CZE,2022,880000
AUS-DEU,2022,880000
AUS-ITA,2022,880000
AUS-JPN,2022,880000
AUS-KOR,2022,880000
AUS-ROE,2022,880000
AUS-ROW,2022,880000
AUS-USA,2022,880000
AUT-AUS,2022,3000
AUT-BRA,2022,3000
AUT-CHN,2022,3000
AUT-CZE,2022,3000
AUT-DEU,2022,3000
AUT-ITA,2022,3000
AUT-JPN,2022,3000
AUT-KOR,2022,3000
AUT-ROE,2022,3000
AUT-ROW,2022,3000
AUT-USA,2022,3000
BRA-AUS,2022,410000
BRA-AUT,2022,410000
BRA-CHN,2022,410000
BRA-CZE,2022,410000
BRA-DEU,2022,410000
BRA-ITA,2022,410000
BRA-JPN,2022,410000
BRA-KOR,2022,410000
BRA-ROE,2022,410000
BRA-ROW,2022,410000
BRA-USA,2022,410000
CHN-AUS,2022,380000
CHN-AUT,2022,380000
CHN-BRA,2022,380000
CHN-CZE,2022,380000
CHN-DEU,2022,380000
CHN-ITA,2022,380000
CHN-JPN,2022,380000
CHN-KOR,2022,380000
CHN-ROE,2022,380000
CHN-ROW,2022,380000
CHN-USA,2022,380000
CZE-AUS,2022,1
CZE-AUT,2022,1
CZE-BRA,2022,1
CZE-CHN,2022,1
CZE-DEU,2022,1
CZE-ITA,2022,1
CZE-JPN,2022,1
CZE-KOR,2022,1
CZE-ROE,2022,1
CZE-ROW,2022,1
CZE-USA,2022,1
DEU-AUS,2022,500
DEU-AUT,2022,500
DEU-BRA,2022,500
DEU-CHN,2022,500
DEU-CZE,2022,500
DEU-ITA,2022,500
DEU-JPN,2022,500
DEU-KOR,2022,500
DEU-ROE,2022,500
DEU-ROW,2022,500
DEU-USA,2022,500
ITA-AUS,2022,4.6
ITA-AUT,2022,4.6
ITA-BRA,2022,4.6
ITA-CHN,2022,4.6
ITA-CZE,2022,4.6
ITA-DEU,2022,4.6
ITA-JPN,2022,4.6
ITA-KOR,2022,4.6
ITA-ROE,2022,4.6
ITA-ROW,2022,4.6
ITA-USA,2022,4.6
JPN-AUS,2022,1
JPN-AUT,2022,1
JPN-BRA,2022,1
JPN-CHN,2022,1
JPN-CZE,2022,1
JPN-DEU,2022,1
JPN-ITA,2022,1
JPN-KOR,2022,1
JPN-ROE,2022,1
JPN-ROW,2022,1
JPN-USA,2022,1
KOR-AUS,2022,500
KOR-AUT,2022,500
KOR-BRA,2022,500
KOR-CHN,2022,500
KOR-CZE,2022,500
KOR-DEU,2022,500
KOR-ITA,2022,500
KOR-JPN,2022,500
KOR-ROE,2022,500
KOR-ROW,2022,500
KOR-USA,2022,500
ROE-AUS,2022,151000
ROE-AUT,2022,151000
ROE-BRA,2022,151000
ROE-CHN,2022,151000
ROE-CZE,2022,151000
ROE-DEU,2022,151000
ROE-ITA,2022,151000
ROE-JPN,2022,151000
ROE-KOR,2022,151000
ROE-ROW,2022,151000
ROE-USA,2022,151000
ROW-AUS,2022,729000
ROW-AUT,2022,729000
ROW-BRA,2022,729000
ROW-CHN,2022,729000
ROW-CZE,2022,729000
ROW-DEU,2022,729000
ROW-ITA,2022,729000
ROW-JPN,2022,729000
ROW-KOR,2022,729000
ROW-ROE,2022,729000
ROW-USA,2022,729000
USA-AUS,2022,46000
USA-AUT,2022,46000
USA-BRA,2022,46000
USA-CHN,2022,46000
USA-CZE,2022,46000
USA-DEU,2022,46000
USA-ITA,2022,46000
USA-JPN,2022,46000
USA-KOR,2022,46000
USA-ROE,2022,46000
USA-ROW,2022,46000
