edge,opex_variable
AUS-AUT,0.005661068
AUS-BRA,0.006504206
AUS-CHN,0.003011206
AUS-CZE,0.004175540
AUS-DEU,0.004255839
AUS-ITA,0.004737632
AUS-JPN,0.003452850
AUS-KOR,0.002890758
AUS-USA,0.003493000
AUS-ROE,0.004707519
AUS-ROW,0.004242455
AUT-AUS,0.005947356
AUT-BRA,0.006369154
AUT-CHN,0.004639781
AUT-CZE,0.000253079
AUT-DEU,0.000885776
AUT-ITA,0.001940272
AUT-JPN,0.005061580
AUT-KOR,0.004344522
AUT-USA,0.004217983
AUT-ROE,0.001026376
AUT-ROW,0.003739945
BRA-AUS,0.004239783
BRA-AUT,0.003951896
BRA-CHN,0.002303092
BRA-CZE,0.003114408
BRA-DEU,0.002538635
BRA-ITA,0.002748007
BRA-JPN,0.003323780
BRA-KOR,0.002983551
BRA-USA,0.002172235
BRA-ROE,0.003088237
BRA-ROW,0.003041710
CHN-AUS,0.001904359
CHN-AUT,0.002793061
CHN-BRA,0.002234448
CHN-CZE,0.001396530
CHN-DEU,0.001599662
CHN-ITA,0.002259840
CHN-JPN,0.001650445
CHN-KOR,0.001345747
CHN-USA,0.001802794
CHN-ROE,0.002012273
CHN-ROW,0.001887432
CZE-AUS,0.003239333
CZE-AUT,0.000186885
CZE-BRA,0.003706544
CZE-CHN,0.001713109
CZE-DEU,0.000218032
CZE-ITA,0.000591801
CZE-JPN,0.002336057
CZE-KOR,0.001868846
CZE-USA,0.002024583
CZE-ROE,0.000332239
CZE-ROW,0.001765021
DEU-AUS,0.004630360
DEU-AUT,0.000917335
DEU-BRA,0.004237216
DEU-CHN,0.002752006
DEU-CZE,0.000305778
DEU-ITA,0.001528892
DEU-JPN,0.003669342
DEU-KOR,0.003407246
DEU-USA,0.002926737
DEU-ROE,0.000917335
DEU-ROW,0.002708324
ITA-AUS,0.004917586
ITA-AUT,0.001917025
ITA-BRA,0.004375818
ITA-CHN,0.003709027
ITA-CZE,0.000791815
ITA-DEU,0.001458606
ITA-JPN,0.004375818
ITA-KOR,0.003917399
ITA-USA,0.003584004
ITA-ROE,0.001389149
ITA-ROW,0.003227455
JPN-AUS,0.002928373
JPN-AUT,0.004086102
JPN-BRA,0.004324458
JPN-CHN,0.002213305
JPN-CZE,0.002553814
JPN-DEU,0.002860271
JPN-ITA,0.003575339
JPN-KOR,0.002213305
JPN-USA,0.002621915
JPN-ROE,0.003268882
JPN-ROW,0.003041876
KOR-AUS,0.002209879
KOR-AUT,0.003161354
KOR-BRA,0.003498975
KOR-CHN,0.001626716
KOR-CZE,0.001841566
KOR-DEU,0.002394035
KOR-ITA,0.002885119
KOR-JPN,0.001995029
KOR-USA,0.002087108
KOR-ROE,0.002570519
KOR-ROW,0.002411087
USA-AUS,0.003298254
USA-AUT,0.003791097
USA-BRA,0.003146611
USA-CHN,0.002691679
USA-CZE,0.002464213
USA-DEU,0.002540035
USA-ITA,0.003260343
USA-JPN,0.002919145
USA-KOR,0.002577946
USA-ROE,0.003013922
USA-ROW,0.002965480
ROE-AUS,0.004141846
ROE-AUT,0.000859573
ROE-BRA,0.004168339
ROE-CHN,0.002799499
ROE-CZE,0.000376799
ROE-DEU,0.000741823
ROE-ITA,0.001177497
ROE-JPN,0.003391191
ROE-KOR,0.002958461
ROE-USA,0.002808330
ROE-ROW,0.002921763
ROW-AUS,0.003728007
ROW-AUT,0.003128233
ROW-BRA,0.004100415
ROW-CHN,0.002622541
ROW-CZE,0.001999246
ROW-DEU,0.002187411
ROW-ITA,0.002732304
ROW-JPN,0.003151753
ROW-KOR,0.002771504
ROW-USA,0.002759744
ROW-ROE,0.002918116
