edge,opex_variable
AUS-AUT,0.001542898
AUS-BRA,0.001772691
AUS-CHN,0.000820690
AUS-CZE,0.001138024
AUS-DEU,0.001159909
AUS-ITA,0.001291220
AUS-JPN,0.000941058
AUS-KOR,0.000787863
AUS-USA,0.000952001
AUS-ROE,0.001283013
AUS-ROW,0.001156262
AUT-AUS,0.001681655
AUT-BRA,0.001800921
AUT-CHN,0.001311929
AUT-CZE,0.000071560
AUT-DEU,0.000250459
AUT-ITA,0.000548625
AUT-JPN,0.001431196
AUT-KOR,0.001228443
AUT-USA,0.001192663
AUT-ROE,0.000290215
AUT-ROW,0.001057495
BRA-AUS,0.001063436
BRA-AUT,0.000991227
BRA-CHN,0.000577669
BRA-CZE,0.000781166
BRA-DEU,0.000636749
BRA-ITA,0.000689264
BRA-JPN,0.000833681
BRA-KOR,0.000748344
BRA-USA,0.000544847
BRA-ROE,0.000774602
BRA-ROW,0.000762931
CHN-AUS,0.000448031
CHN-AUT,0.000657111
CHN-BRA,0.000525689
CHN-CZE,0.000328556
CHN-DEU,0.000376346
CHN-ITA,0.000531663
CHN-JPN,0.000388293
CHN-KOR,0.000316608
CHN-USA,0.000424136
CHN-ROE,0.000473419
CHN-ROW,0.000444048
CZE-AUS,0.000929251
CZE-AUT,0.000053611
CZE-BRA,0.001063278
CZE-CHN,0.000491431
CZE-DEU,0.000062546
CZE-ITA,0.000169767
CZE-JPN,0.000670133
CZE-KOR,0.000536107
CZE-USA,0.000580782
CZE-ROE,0.000095308
CZE-ROW,0.000506323
DEU-AUS,0.001309991
DEU-AUT,0.000259527
DEU-BRA,0.001198766
DEU-CHN,0.000778580
DEU-CZE,0.000086509
DEU-ITA,0.000432544
DEU-JPN,0.001038106
DEU-KOR,0.000963956
DEU-USA,0.000828013
DEU-ROE,0.000259527
DEU-ROW,0.000766221
ITA-AUS,0.001448356
ITA-AUT,0.000564613
ITA-BRA,0.001288791
ITA-CHN,0.001092404
ITA-CZE,0.000233210
ITA-DEU,0.000429597
ITA-JPN,0.001288791
ITA-KOR,0.001153775
ITA-USA,0.001055581
ITA-ROE,0.000409140
ITA-ROW,0.000950569
JPN-AUS,0.000776749
JPN-AUT,0.001083836
JPN-BRA,0.001147060
JPN-CHN,0.000587078
JPN-CZE,0.000677398
JPN-DEU,0.000758685
JPN-ITA,0.000948357
JPN-KOR,0.000587078
JPN-USA,0.000695462
JPN-ROE,0.000867069
JPN-ROW,0.000806856
KOR-AUS,0.000552491
KOR-AUT,0.000790369
KOR-BRA,0.000874778
KOR-CHN,0.000406695
KOR-CZE,0.000460409
KOR-DEU,0.000598532
KOR-ITA,0.000721308
KOR-JPN,0.000498777
KOR-USA,0.000521797
KOR-ROE,0.000642655
KOR-ROW,0.000602795
USA-AUS,0.000860618
USA-AUT,0.000989216
USA-BRA,0.000821049
USA-CHN,0.000702343
USA-CZE,0.000642990
USA-DEU,0.000662775
USA-ITA,0.000850726
USA-JPN,0.000761696
USA-KOR,0.000672667
USA-ROE,0.000786427
USA-ROW,0.000773787
ROE-AUS,0.001121217
ROE-AUT,0.000232690
ROE-BRA,0.001128389
ROE-CHN,0.000757838
ROE-CZE,0.000102001
ROE-DEU,0.000200815
ROE-ITA,0.000318754
ROE-JPN,0.000918012
ROE-KOR,0.000800869
ROE-USA,0.000760228
ROE-ROW,0.000790935
ROW-AUS,0.001009189
ROW-AUT,0.000846827
ROW-BRA,0.001110001
ROW-CHN,0.000709934
ROW-CZE,0.000541205
ROW-DEU,0.000592142
ROW-ITA,0.000739647
ROW-JPN,0.000853194
ROW-KOR,0.000750259
ROW-USA,0.000747075
ROW-ROE,0.000789947
