edge,opex_specific_variable
AUS-AUT,0.055957609
AUS-BRA,0.076389126
AUS-CHN,0.023034099
AUS-CZE,0.133277546
AUS-DEU,0.01540605
AUS-ITA,0.787891043
AUS-JPN,0.007625926
AUS-KOR,0.002689831
AUS-ROE,0.010165526
AUS-ROW,0.019118261
AUS-USA,0.114808681
AUT-AUS,0.045783498
AUT-BRA,0.051762629
AUT-CHN,0.019078637
AUT-CZE,0.002082001
AUT-DEU,0.000501747
AUT-ITA,0.037166842
AUT-JPN,0.008755818
AUT-KOR,0.002645346
AUT-ROE,0.000451778
AUT-ROW,0.007144156
AUT-USA,0.05129324
BRA-AUS,0.040441379
BRA-AUT,0.033493465
BRA-CHN,0.043298872
BRA-CZE,0.079040809
BRA-DEU,0.009198062
BRA-ITA,0.432672486
BRA-JPN,0.016948143
BRA-KOR,0.005607629
BRA-ROE,0.006273177
BRA-ROW,0.007082719
BRA-USA,0.048938841
CHN-AUS,0.025913361
CHN-AUT,0.026233432
CHN-BRA,0.092010311
CHN-CZE,0.061959497
CHN-DEU,0.007055236
CHN-ITA,0.394827294
CHN-JPN,0.002011778
CHN-KOR,0.000304365
CHN-ROE,0.004558701
CHN-ROW,0.004632252
CHN-USA,0.080247796
CZE-AUS,0.046134536
CZE-AUT,0.000880845
CZE-BRA,0.051680535
CZE-CHN,0.019064306
CZE-DEU,0.000269321
CZE-ITA,0.044808763
CZE-JPN,0.008699782
CZE-KOR,0.002636787
CZE-ROE,0.000318073
CZE-ROW,0.007332751
CZE-USA,0.04968341
DEU-AUS,0.046218304
DEU-AUT,0.001839738
DEU-BRA,0.052122426
DEU-CHN,0.018813962
DEU-CZE,0.002334116
DEU-ITA,0.057484607
DEU-JPN,0.008552012
DEU-KOR,0.002598
DEU-ROE,0.000162595
DEU-ROW,0.00763541
DEU-USA,0.048322391
ITA-AUS,0.04665091
ITA-AUT,0.002689655
ITA-BRA,0.048388227
ITA-CHN,0.020780612
ITA-CZE,0.007664664
ITA-DEU,0.001134628
ITA-JPN,0.009452664
ITA-KOR,0.002866681
ITA-ROE,0.000907108
ITA-ROW,0.006167993
ITA-USA,0.051966518
JPN-AUS,0.022877774
JPN-AUT,0.032104664
JPN-BRA,0.096039129
JPN-CHN,0.005364742
JPN-CZE,0.075398256
JPN-DEU,0.008552012
JPN-ITA,0.47901764
JPN-KOR,0.000370478
JPN-ROE,0.005543348
JPN-ROW,0.018242664
JPN-USA,0.078473701
KOR-AUS,0.024208479
KOR-AUT,0.029098817
KOR-BRA,0.095329773
KOR-CHN,0.00243492
KOR-CZE,0.068556734
KOR-DEU,0.007793999
KOR-ITA,0.435771631
KOR-JPN,0.00111144
KOR-ROE,0.00504481
KOR-ROW,0.016844681
KOR-USA,0.080393874
ROE-AUS,0.045744961
ROE-AUT,0.002484781
ROE-BRA,0.053321972
ROE-CHN,0.018234807
ROE-CZE,0.004134948
ROE-DEU,0.000243893
ROE-ITA,0.068942312
ROE-JPN,0.008315098
ROE-KOR,0.002522405
ROE-ROW,0.00795454
ROE-USA,0.0483913
ROW-AUS,0.04301586
ROW-AUT,0.01964651
ROW-BRA,0.030101557
ROW-CHN,0.031264504
ROW-CZE,0.047662886
ROW-DEU,0.005726557
ROW-ITA,0.234437933
ROW-JPN,0.013681975
ROW-KOR,0.004211156
ROW-ROE,0.00397727
ROW-USA,0.064015846
USA-AUS,0.045866396
USA-AUT,0.025045475
USA-BRA,0.036930056
USA-CHN,0.029181268
USA-CZE,0.057346124
USA-DEU,0.006434978
USA-ITA,0.35059588
USA-JPN,0.01045014
USA-KOR,0.00356862
USA-ROE,0.004296116
USA-ROW,0.011366451
