edge,year_construction,capacity_existing
AUS-AUT,2022,0
AUS-BRA,2022,0
AUS-CHN,2022,0
AUS-CZE,2022,0
AUS-DEU,2022,0
AUS-ITA,2022,0
AUS-JPN,2022,0
AUS-KOR,2022,0
AUS-ROE,2022,0
AUS-ROW,2022,0
AUS-USA,2022,0
AUT-AUS,2022,0
AUT-BRA,2022,0
AUT-CHN,2022,0
AUT-CZE,2022,0
AUT-DEU,2022,0
AUT-ITA,2022,0
AUT-JPN,2022,0
AUT-KOR,2022,0
AUT-ROE,2022,0
AUT-ROW,2022,0
AUT-USA,2022,0
BRA-AUS,2022,0
BRA-AUT,2022,0
BRA-CHN,2022,0
BRA-CZE,2022,0
BRA-DEU,2022,0
BRA-ITA,2022,0
BRA-JPN,2022,0
BRA-KOR,2022,0
BRA-ROE,2022,0
BRA-ROW,2022,0
BRA-USA,2022,0
CHN-AUS,2022,811
CHN-AUT,2022,811
CHN-BRA,2022,811
CHN-CZE,2022,811
CHN-DEU,2022,811
CHN-ITA,2022,811
CHN-JPN,2022,811
CHN-KOR,2022,811
CHN-ROE,2022,811
CHN-ROW,2022,811
CHN-USA,2022,811
CZE-AUS,2022,0
CZE-AUT,2022,0
CZE-BRA,2022,0
CZE-CHN,2022,0
CZE-DEU,2022,0
CZE-ITA,2022,0
CZE-JPN,2022,0
CZE-KOR,2022,0
CZE-ROE,2022,0
CZE-ROW,2022,0
CZE-USA,2022,0
DEU-AUS,2022,5.180
DEU-AUT,2022,5.180
DEU-BRA,2022,5.180
DEU-CHN,2022,5.180
DEU-CZE,2022,5.180
DEU-ITA,2022,5.180
DEU-JPN,2022,5.180
DEU-KOR,2022,5.180
DEU-ROE,2022,5.180
DEU-ROW,2022,5.180
DEU-USA,2022,5.180
ITA-AUS,2022,0
ITA-AUT,2022,0
ITA-BRA,2022,0
ITA-CHN,2022,0
ITA-CZE,2022,0
ITA-DEU,2022,0
ITA-JPN,2022,0
ITA-KOR,2022,0
ITA-ROE,2022,0
ITA-ROW,2022,0
ITA-USA,2022,0
JPN-AUS,2022,21.590
JPN-AUT,2022,21.590
JPN-BRA,2022,21.590
JPN-CHN,2022,21.590
JPN-CZE,2022,21.590
JPN-DEU,2022,21.590
JPN-ITA,2022,21.590
JPN-KOR,2022,21.590
JPN-ROE,2022,21.590
JPN-ROW,2022,21.590
JPN-USA,2022,21.590
KOR-AUS,2022,2.064
KOR-AUT,2022,2.064
KOR-BRA,2022,2.064
KOR-CHN,2022,2.064
KOR-CZE,2022,2.064
KOR-DEU,2022,2.064
KOR-ITA,2022,2.064
KOR-JPN,2022,2.064
KOR-ROE,2022,2.064
KOR-ROW,2022,2.064
KOR-USA,2022,2.064
ROE-AUS,2022,11.567
ROE-AUT,2022,11.567
ROE-BRA,2022,11.567
ROE-CHN,2022,11.567
ROE-CZE,2022,11.567
ROE-DEU,2022,11.567
ROE-ITA,2022,11.567
ROE-JPN,2022,11.567
ROE-KOR,2022,11.567
ROE-ROW,2022,11.567
ROE-USA,2022,11.567
ROW-AUS,2022,1158.571
ROW-AUT,2022,1158.571
ROW-BRA,2022,1158.571
ROW-CHN,2022,1158.571
ROW-CZE,2022,1158.571
ROW-DEU,2022,1158.571
ROW-ITA,2022,1158.571
ROW-JPN,2022,1158.571
ROW-KOR,2022,1158.571
ROW-ROE,2022,1158.571
ROW-USA,2022,1158.571
USA-AUS,2022,133.907
USA-AUT,2022,133.907
USA-BRA,2022,133.907
USA-CHN,2022,133.907
USA-CZE,2022,133.907
USA-DEU,2022,133.907
USA-ITA,2022,133.907
USA-JPN,2022,133.907
USA-KOR,2022,133.907
USA-ROE,2022,133.907
USA-ROW,2022,133.907
