edge,opex_variable
AUS-AUT,0.003243000
AUS-BRA,0.003726000
AUS-CHN,0.001725000
AUS-CZE,0.002392000
AUS-DEU,0.002438000
AUS-ITA,0.002714000
AUS-JPN,0.001978000
AUS-KOR,0.001656000
AUS-USA,0.002001000
AUS-ROE,0.002696750
AUS-ROW,0.002430333
AUT-AUS,0.003243000
AUT-BRA,0.003473000
AUT-CHN,0.002530000
AUT-CZE,0.000138000
AUT-DEU,0.000483000
AUT-ITA,0.001058000
AUT-JPN,0.002760000
AUT-KOR,0.002369000
AUT-USA,0.002300000
AUT-ROE,0.000559667
AUT-ROW,0.002039333
BRA-AUS,0.003726000
BRA-AUT,0.003473000
BRA-CHN,0.002024000
BRA-CZE,0.002737000
BRA-DEU,0.002231000
BRA-ITA,0.002415000
BRA-JPN,0.002921000
BRA-KOR,0.002622000
BRA-USA,0.001909000
BRA-ROE,0.002714000
BRA-ROW,0.002673111
CHN-AUS,0.001725000
CHN-AUT,0.002530000
CHN-BRA,0.002024000
CHN-CZE,0.001265000
CHN-DEU,0.001449000
CHN-ITA,0.002047000
CHN-JPN,0.001495000
CHN-KOR,0.001219000
CHN-USA,0.001633000
CHN-ROE,0.001822750
CHN-ROW,0.001709667
CZE-AUS,0.002392000
CZE-AUT,0.000138000
CZE-BRA,0.002737000
CZE-CHN,0.001265000
CZE-DEU,0.000161000
CZE-ITA,0.000437000
CZE-JPN,0.001725000
CZE-KOR,0.001380000
CZE-USA,0.001495000
CZE-ROE,0.000245333
CZE-ROW,0.001303333
DEU-AUS,0.002438000
DEU-AUT,0.000483000
DEU-BRA,0.002231000
DEU-CHN,0.001449000
DEU-CZE,0.000161000
DEU-ITA,0.000805000
DEU-JPN,0.001932000
DEU-KOR,0.001794000
DEU-USA,0.001541000
DEU-ROE,0.000483000
DEU-ROW,0.001426000
ITA-AUS,0.002714000
ITA-AUT,0.001058000
ITA-BRA,0.002415000
ITA-CHN,0.002047000
ITA-CZE,0.000437000
ITA-DEU,0.000805000
ITA-JPN,0.002415000
ITA-KOR,0.002162000
ITA-USA,0.001978000
ITA-ROE,0.000766667
ITA-ROW,0.001781222
JPN-AUS,0.001978000
JPN-AUT,0.002760000
JPN-BRA,0.002921000
JPN-CHN,0.001495000
JPN-CZE,0.001725000
JPN-DEU,0.001932000
JPN-ITA,0.002415000
JPN-KOR,0.001495000
JPN-USA,0.001771000
JPN-ROE,0.002208000
JPN-ROW,0.002054667
KOR-AUS,0.001656000
KOR-AUT,0.002369000
KOR-BRA,0.002622000
KOR-CHN,0.001219000
KOR-CZE,0.001380000
KOR-DEU,0.001794000
KOR-ITA,0.002162000
KOR-JPN,0.001495000
KOR-USA,0.001564000
KOR-ROE,0.001926250
KOR-ROW,0.001806778
USA-AUS,0.002001000
USA-AUT,0.002300000
USA-BRA,0.001909000
USA-CHN,0.001633000
USA-CZE,0.001495000
USA-DEU,0.001541000
USA-ITA,0.001978000
USA-JPN,0.001771000
USA-KOR,0.001564000
USA-ROE,0.001828500
USA-ROW,0.001799111
ROE-AUS,0.002696750
ROE-AUT,0.000559667
ROE-BRA,0.002714000
ROE-CHN,0.001822750
ROE-CZE,0.000245333
ROE-DEU,0.000483000
ROE-ITA,0.000766667
ROE-JPN,0.002208000
ROE-KOR,0.001926250
ROE-USA,0.001828500
ROE-ROW,0.001902356
ROW-AUS,0.002430333
ROW-AUT,0.002039333
ROW-BRA,0.002673111
ROW-CHN,0.001709667
ROW-CZE,0.001303333
ROW-DEU,0.001426000
ROW-ITA,0.001781222
ROW-JPN,0.002054667
ROW-KOR,0.001806778
ROW-USA,0.001799111
ROW-ROE,0.001902356
