edge,opex_specific_variable
AUS-AUT,0.54431492
AUS-BRA,0.035947823
AUS-CHN,0.097894923
AUS-CZE,0.1896642
AUS-DEU,0.302985653
AUS-ITA,0.41986299
AUS-JPN,0.104220983
AUS-KOR,0.147940703
AUS-ROE,0.304965793
AUS-ROW,0.15294609
AUS-USA,0.114808682
AUT-AUS,0.08647994
AUT-BRA,0.024358883
AUT-CHN,0.081084213
AUT-CZE,0.002962843
AUT-DEU,0.009867687
AUT-ITA,0.019805627
AUT-JPN,0.11966284
AUT-KOR,0.145494087
AUT-ROE,0.013553343
AUT-ROW,0.05715942
AUT-USA,0.051231341
BRA-AUS,0.076379463
BRA-AUT,0.326102697
BRA-CHN,0.18387113
BRA-CZE,0.11243128
BRA-DEU,0.180822243
BRA-ITA,0.230463027
BRA-JPN,0.23160453
BRA-KOR,0.308605083
BRA-ROE,0.188219267
BRA-ROW,0.056667997
BRA-USA,0.048929529
CHN-AUS,0.048885117
CHN-AUT,0.255651063
CHN-BRA,0.04332328
CHN-CZE,0.088172897
CHN-DEU,0.138769493
CHN-ITA,0.210434713
CHN-JPN,0.027493117
CHN-KOR,0.016734763
CHN-ROE,0.136691177
CHN-ROW,0.125039923
CHN-USA,0.080242811
CZE-AUS,0.087227523
CZE-AUT,0.008578677
CZE-BRA,0.024326843
CZE-CHN,0.08098668
CZE-DEU,0.005296663
CZE-ITA,0.023887637
CZE-JPN,0.11889781
CZE-KOR,0.145116543
CZE-ROE,0.009536523
CZE-ROW,0.05864865
CZE-USA,0.049652954
DEU-AUS,0.087346773
DEU-AUT,0.01789603
DEU-BRA,0.024518793
DEU-CHN,0.079895917
DEU-CZE,0.003322453
DEU-ITA,0.030641877
DEU-JPN,0.116936743
DEU-KOR,0.142785067
DEU-ROE,0.00487862
DEU-ROW,0.06107959
DEU-USA,0.048306545
ITA-AUS,0.08812815
ITA-AUT,0.026161797
ITA-BRA,0.022773967
ITA-CHN,0.088165813
ITA-CZE,0.010905107
ITA-DEU,0.02232663
ITA-JPN,0.12924452
ITA-KOR,0.157568253
ITA-ROE,0.027190933
ITA-ROW,0.049302123
ITA-USA,0.05192235
JPN-AUS,0.043214947
JPN-AUT,0.312368477
JPN-BRA,0.04520116
JPN-CHN,0.02277629
JPN-CZE,0.107267097
JPN-DEU,0.16817617
JPN-ITA,0.255193157
JPN-KOR,0.020371247
JPN-ROE,0.166305833
JPN-ROW,0.14592456
JPN-USA,0.078404407
KOR-AUS,0.045735347
KOR-AUT,0.283052007
KOR-BRA,0.044854323
KOR-CHN,0.010335537
KOR-CZE,0.09750351
KOR-DEU,0.153288677
KOR-ITA,0.23198858
KOR-JPN,0.015193757
KOR-ROE,0.151380503
KOR-ROW,0.13465533
KOR-USA,0.080351775
ROE-AUS,0.086435963
ROE-AUT,0.024174873
ROE-BRA,0.02508921
ROE-CHN,0.07750635
ROE-CZE,0.00588284
ROE-DEU,0.00479821
ROE-ITA,0.036739243
ROE-JPN,0.113696677
ROE-KOR,0.13872293
ROE-ROW,0.06363048
ROE-USA,0.048365926
ROW-AUS,0.08125061
ROW-AUT,0.19113812
ROW-BRA,0.01416674
ROW-CHN,0.132797977
ROW-CZE,0.067804963
ROW-DEU,0.112660713
ROW-ITA,0.124851187
ROW-JPN,0.186982247
ROW-KOR,0.23174021
ROW-ROE,0.119187683
ROW-USA,0.063993576
USA-AUS,0.086655743
USA-AUT,0.2436514
USA-BRA,0.017380247
USA-CHN,0.123972239
USA-CZE,0.081577507
USA-DEU,0.12657887
USA-ITA,0.186831213
USA-JPN,0.142839587
USA-KOR,0.196196467
USA-ROE,0.12881212
USA-ROW,0.090973663
