edge,year_construction,capacity_existing
AUS-AUT,2022,5808
AUS-BRA,2022,5808
AUS-CHN,2022,5808
AUS-CZE,2022,5808
AUS-DEU,2022,5808
AUS-ITA,2022,5808
AUS-JPN,2022,5808
AUS-KOR,2022,5808
AUS-ROE,2022,5808
AUS-ROW,2022,5808
AUS-USA,2022,5808
AUT-AUS,2022,7884
AUT-BRA,2022,7884
AUT-CHN,2022,7884
AUT-CZE,2022,7884
AUT-DEU,2022,7884
AUT-ITA,2022,7884
AUT-JPN,2022,7884
AUT-KOR,2022,7884
AUT-ROE,2022,7884
AUT-ROW,2022,7884
AUT-USA,2022,7884
BRA-AUS,2022,33000
BRA-AUT,2022,33000
BRA-CHN,2022,33000
BRA-CZE,2022,33000
BRA-DEU,2022,33000
BRA-ITA,2022,33000
BRA-JPN,2022,33000
BRA-KOR,2022,33000
BRA-ROE,2022,33000
BRA-ROW,2022,33000
BRA-USA,2022,33000
CHN-AUS,2022,990000
CHN-AUT,2022,990000
CHN-BRA,2022,990000
CHN-CZE,2022,990000
CHN-DEU,2022,990000
CHN-ITA,2022,990000
CHN-JPN,2022,990000
CHN-KOR,2022,990000
CHN-ROE,2022,990000
CHN-ROW,2022,990000
CHN-USA,2022,990000
CZE-AUS,2022,4817
CZE-AUT,2022,4817
CZE-BRA,2022,4817
CZE-CHN,2022,4817
CZE-DEU,2022,4817
CZE-ITA,2022,4817
CZE-JPN,2022,4817
CZE-KOR,2022,4817
CZE-ROE,2022,4817
CZE-ROW,2022,4817
CZE-USA,2022,4817
DEU-AUS,2022,38000
DEU-AUT,2022,38000
DEU-BRA,2022,38000
DEU-CHN,2022,38000
DEU-CZE,2022,38000
DEU-ITA,2022,38000
DEU-JPN,2022,38000
DEU-KOR,2022,38000
DEU-ROE,2022,38000
DEU-ROW,2022,38000
DEU-USA,2022,38000
ITA-AUS,2022,24000
ITA-AUT,2022,24000
ITA-BRA,2022,24000
ITA-CHN,2022,24000
ITA-CZE,2022,24000
ITA-DEU,2022,24000
ITA-JPN,2022,24000
ITA-KOR,2022,24000
ITA-ROE,2022,24000
ITA-ROW,2022,24000
ITA-USA,2022,24000
JPN-AUS,2022,97000
JPN-AUT,2022,97000
JPN-BRA,2022,97000
JPN-CHN,2022,97000
JPN-CZE,2022,97000
JPN-DEU,2022,97000
JPN-ITA,2022,97000
JPN-KOR,2022,97000
JPN-ROE,2022,97000
JPN-ROW,2022,97000
JPN-USA,2022,97000
KOR-AUS,2022,69000
KOR-AUT,2022,69000
KOR-BRA,2022,69000
KOR-CHN,2022,69000
KOR-CZE,2022,69000
KOR-DEU,2022,69000
KOR-ITA,2022,69000
KOR-JPN,2022,69000
KOR-ROE,2022,69000
KOR-ROW,2022,69000
KOR-USA,2022,69000
ROE-AUS,2022,224718
ROE-AUT,2022,224718
ROE-BRA,2022,224718
ROE-CHN,2022,224718
ROE-CZE,2022,224718
ROE-DEU,2022,224718
ROE-ITA,2022,224718
ROE-JPN,2022,224718
ROE-KOR,2022,224718
ROE-ROW,2022,224718
ROE-USA,2022,224718
ROW-AUS,2022,323773
ROW-AUT,2022,323773
ROW-BRA,2022,323773
ROW-CHN,2022,323773
ROW-CZE,2022,323773
ROW-DEU,2022,323773
ROW-ITA,2022,323773
ROW-JPN,2022,323773
ROW-KOR,2022,323773
ROW-ROE,2022,323773
ROW-USA,2022,323773
USA-AUS,2022,82000
USA-AUT,2022,82000
USA-BRA,2022,82000
USA-CHN,2022,82000
USA-CZE,2022,82000
USA-DEU,2022,82000
USA-ITA,2022,82000
USA-JPN,2022,82000
USA-KOR,2022,82000
USA-ROE,2022,82000
USA-ROW,2022,82000
