edge,opex_variable
AUS-AUT,0.079771232
AUS-BRA,0.091652054
AUS-CHN,0.042431507
AUS-CZE,0.058838356
AUS-DEU,0.059969863
AUS-ITA,0.066758904
AUS-JPN,0.048654794
AUS-KOR,0.040734246
AUS-USA,0.049220548
AUS-ROE,0.066334588
AUS-ROW,0.059781278
AUT-AUS,0.079771232
AUT-BRA,0.085428766
AUT-CHN,0.062232876
AUT-CZE,0.003394521
AUT-DEU,0.011880822
AUT-ITA,0.026024657
AUT-JPN,0.067890410
AUT-KOR,0.058272602
AUT-USA,0.056575342
AUT-ROE,0.013766667
AUT-ROW,0.050163470
BRA-AUS,0.078292603
BRA-AUT,0.072976438
BRA-CHN,0.042529315
BRA-CZE,0.057511233
BRA-DEU,0.046878904
BRA-ITA,0.050745205
BRA-JPN,0.061377534
BRA-KOR,0.055094794
BRA-USA,0.040112877
BRA-ROE,0.057027945
BRA-ROW,0.056168767
CHN-AUS,0.040993150
CHN-AUT,0.060123287
CHN-BRA,0.048098630
CHN-CZE,0.030061644
CHN-DEU,0.034434246
CHN-ITA,0.048645205
CHN-JPN,0.035527397
CHN-KOR,0.028968493
CHN-USA,0.038806849
CHN-ROE,0.043316096
CHN-ROW,0.040628767
CZE-AUS,0.058838356
CZE-AUT,0.003394521
CZE-BRA,0.067324657
CZE-CHN,0.031116438
CZE-DEU,0.003960274
CZE-ITA,0.010749315
CZE-JPN,0.042431507
CZE-KOR,0.033945205
CZE-USA,0.036773972
CZE-ROE,0.006034703
CZE-ROW,0.032059360
DEU-AUS,0.059969863
DEU-AUT,0.011880822
DEU-BRA,0.054878082
DEU-CHN,0.035642465
DEU-CZE,0.003960274
DEU-ITA,0.019801370
DEU-JPN,0.047523287
DEU-KOR,0.044128767
DEU-USA,0.037905479
DEU-ROE,0.011880822
DEU-ROW,0.035076712
ITA-AUS,0.066758904
ITA-AUT,0.026024657
ITA-BRA,0.059404109
ITA-CHN,0.050352054
ITA-CZE,0.010749315
ITA-DEU,0.019801370
ITA-JPN,0.059404109
ITA-KOR,0.053180821
ITA-USA,0.048654794
ITA-ROE,0.018858447
ITA-ROW,0.043814459
JPN-AUS,0.051128767
JPN-AUT,0.071342466
JPN-BRA,0.075504110
JPN-CHN,0.038643836
JPN-CZE,0.044589041
JPN-DEU,0.049939726
JPN-ITA,0.062424658
JPN-KOR,0.038643836
JPN-USA,0.045778082
JPN-ROE,0.057073973
JPN-ROW,0.053110502
KOR-AUS,0.041769863
KOR-AUT,0.059754110
KOR-BRA,0.066135617
KOR-CHN,0.030747260
KOR-CZE,0.034808219
KOR-DEU,0.045250685
KOR-ITA,0.054532877
KOR-JPN,0.037708904
KOR-USA,0.039449315
KOR-ROE,0.048586473
KOR-ROW,0.045572984
USA-AUS,0.048386301
USA-AUT,0.055616438
USA-BRA,0.046161644
USA-CHN,0.039487671
USA-CZE,0.036150685
USA-DEU,0.037263013
USA-ITA,0.047830137
USA-JPN,0.042824657
USA-KOR,0.037819178
USA-ROE,0.044215068
USA-ROW,0.043504414
ROE-AUS,0.066334588
ROE-AUT,0.013766667
ROE-BRA,0.066758904
ROE-CHN,0.044835959
ROE-CZE,0.006034703
ROE-DEU,0.011880822
ROE-ITA,0.018858447
ROE-JPN,0.054312328
ROE-KOR,0.047381849
ROE-USA,0.044977397
ROE-ROW,0.046794094
ROW-AUS,0.059127276
ROW-AUT,0.049614686
ROW-BRA,0.065033787
ROW-CHN,0.041594267
ROW-CZE,0.031708634
ROW-DEU,0.034692976
ROW-ITA,0.043335133
ROW-JPN,0.049987729
ROW-KOR,0.043956871
ROW-USA,0.043770350
ROW-ROE,0.046282171
