edge,opex_specific_variable
AUS-AUT,0.16956851
AUS-BRA,0.016048137
AUS-CHN,0.02056616
AUS-CZE,0.042717163
AUS-DEU,0.048908097
AUS-ITA,0.055537433
AUS-JPN,0.042366253
AUS-KOR,0.022415257
AUS-ROE,0.04840727
AUS-ROW,0.034139753
AUS-USA,0.030334923
AUT-AUS,0.024241887
AUT-BRA,0.01087168
AUT-CHN,0.01702647
AUT-CZE,0.000667387
AUT-DEU,0.00159315
AUT-ITA,0.00261891
AUT-JPN,0.048654623
AUT-KOR,0.022012133
AUT-ROE,0.00215198
AUT-ROW,0.01275114
AUT-USA,0.013569577
BRA-AUS,0.021394147
BRA-AUT,0.101550827
BRA-CHN,0.03865252
BRA-CZE,0.025338727
BRA-DEU,0.029222683
BRA-ITA,0.030495463
BRA-JPN,0.094096767
BRA-KOR,0.046713887
BRA-ROE,0.02987314
BRA-ROW,0.012639843
BRA-USA,0.01294328
CHN-AUS,0.01372452
CHN-AUT,0.079499737
CHN-BRA,0.01934624
CHN-CZE,0.019859987
CHN-DEU,0.02240987
CHN-ITA,0.027839363
CHN-JPN,0.01117323
CHN-KOR,0.008695833
CHN-ROE,0.02172202
CHN-ROW,0.02789639
CHN-USA,0.02122079
CZE-AUS,0.024470193
CZE-AUT,0.002667507
CZE-BRA,0.010863943
CZE-CHN,0.017010277
CZE-DEU,0.000855617
CZE-ITA,0.003158863
CZE-JPN,0.04830926
CZE-KOR,0.021964953
CZE-ROE,0.0015152
CZE-ROW,0.01307952
CZE-USA,0.01314469
DEU-AUS,0.024486413
DEU-AUT,0.005572977
DEU-BRA,0.010946867
DEU-CHN,0.016789373
DEU-CZE,0.000748207
DEU-ITA,0.00405406
DEU-JPN,0.04749652
DEU-KOR,0.021637873
DEU-ROE,0.000774693
DEU-ROW,0.01363073
DEU-USA,0.012781683
ITA-AUS,0.024774567
ITA-AUT,0.00814932
ITA-BRA,0.010170127
ITA-CHN,0.018556637
ITA-CZE,0.002456957
ITA-DEU,0.003603867
ITA-JPN,0.052482187
ITA-KOR,0.023873257
ITA-ROE,0.004320773
ITA-ROW,0.011003147
ITA-USA,0.01374398
JPN-AUS,0.01212994
JPN-AUT,0.09730253
JPN-BRA,0.020173203
JPN-CHN,0.004794273
JPN-CZE,0.02416793
JPN-DEU,0.027165163
JPN-ITA,0.033744913
JPN-KOR,0.003086933
JPN-ROE,0.026412977
JPN-ROW,0.032545513
JPN-USA,0.02075594
KOR-AUS,0.012836913
KOR-AUT,0.08817538
KOR-BRA,0.020027267
KOR-CHN,0.00217271
KOR-CZE,0.021967587
KOR-DEU,0.024754113
KOR-ITA,0.03070101
KOR-JPN,0.006173353
KOR-ROE,0.024038807
KOR-ROW,0.03004971
KOR-USA,0.021266343
ROE-AUS,0.0242305
ROE-AUT,0.007528743
ROE-BRA,0.011209177
ROE-CHN,0.016279033
ROE-CZE,0.001325327
ROE-DEU,0.000774877
ROE-ITA,0.00486023
ROE-JPN,0.04618545
ROE-KOR,0.02101229
ROE-ROW,0.014191727
ROE-USA,0.01278867
ROW-AUS,0.022787557
ROW-AUT,0.059536007
ROW-BRA,0.006324797
ROW-CHN,0.02789454
ROW-CZE,0.015274087
ROW-DEU,0.018197597
ROW-ITA,0.016514193
ROW-JPN,0.075991397
ROW-KOR,0.03507033
ROW-ROE,0.018943237
ROW-USA,0.016929883
USA-AUS,0.02431218
USA-AUT,0.075891347
USA-BRA,0.007761107
USA-CHN,0.02541762
USA-CZE,0.01838254
USA-DEU,0.020443657
USA-ITA,0.024709917
USA-JPN,0.05806105
USA-KOR,0.02972319
USA-ROE,0.020467743
USA-ROW,0.020281567
